Education_Sector,School_Name,School_Type,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,LGA_Name,X,Y
Government,Ceres Primary School,Primary,605 Barrabool Road,,Ceres,VIC,3221,Greater Geelong (C),144.266732,-38.173549
Government,Malvern Central School,Primary,Spring Road,,Malvern,VIC,3144,Stonnington (C),145.034401,-37.856009
Government,Daylesford Primary School,Primary,102-128 Vincent Street,,Daylesford,VIC,3460,Hepburn (S),144.1415552,-37.34510484
Government,Mooroopna North Primary School,Primary,835 Ardmona Road,,Mooroopna,VIC,3629,Greater Shepparton (C),145.298488,-36.329139
Government,Swan Reach Primary School,Primary,21 School Road,,Swan Reach,VIC,3903,East Gippsland (S),147.864786,-37.821077
Government,Amphitheatre Primary School,Primary,16 School Road,,Amphitheatre,VIC,3468,Pyrenees (S),143.399236,-37.184128
Government,Deans Marsh Primary School,Primary,30 Deans Marsh-Lorne Road,,Deans Marsh,VIC,3235,Surf Coast (S),143.8857511,-38.39987507
Government,Drysdale Primary School,Primary,52-66 Clifton Springs Rd,,Drysdale,VIC,3222,Greater Geelong (C),144.571747,-38.169163
Government,St Arnaud Primary School,Primary,Charlton Road,,St Arnaud,VIC,3478,Northern Grampians (S),143.257542,-36.6102
Government,Nullawarre and District Primary School,Primary,132 Henry's Sawmill Road,,Nullawarre,VIC,3268,Moyne (S),142.734429,-38.466755
Government,Macedon Primary School,Primary,67 Smith Street,,Macedon,VIC,3440,Macedon Ranges (S),144.5626788,-37.41869064
Government,Arthurs Creek Primary School,Primary,900 Arthurs Creek Road,,Arthurs Creek,VIC,3099,Nillumbik (S),145.2025016,-37.57900478
Government,Rye Primary School,Primary,12-22 Lyons St,,Rye,VIC,3941,Mornington Peninsula (S),144.823824,-38.373116
Government,Buxton Primary School,Primary,2208 Maroondah Highway,,Buxton,VIC,3711,Murrindindi (S),145.709051,-37.421398
Government,Moonambel Primary School,Primary,24 Humffray Street,,Moonambel,VIC,3478,Pyrenees (S),143.320743,-36.989858
Government,Longford Primary School,Primary,6380 South Gippsland Highway,,Longford,VIC,3851,Wellington (S),147.088411,-38.169564
Government,Harkaway Primary School,Primary,65-67 King Road,,Harkaway,VIC,3806,Casey (C),145.345173,-38.00085317
Government,Balnarring Primary School,Primary,1 Civic Court,,Balnarring,VIC,3926,Mornington Peninsula (S),145.122824,-38.376723
Government,Carraragarmungee Primary School,Primary,1005 Wangaratta-Eldorado Road,,Londrigan,VIC,3678,Wangaratta (RC),146.460861,-36.328898
Government,Euroa Primary School,Primary,1C Clifton Street,,Euroa,VIC,3666,Strathbogie (S),145.572076,-36.755962
Government,Pyramid Hill College,Pri/Sec,97-101 Kelly Street,,Pyramid Hill,VIC,3575,Loddon (S),144.113679,-36.04736
Government,Shepparton East Primary School,Primary,15 School Road,,Shepparton East,VIC,3631,Greater Shepparton (C),145.479249,-36.399933
Government,Nicholson Primary School,Primary,Princes Highway,,Nicholson,VIC,3882,East Gippsland (S),147.747912,-37.815776
Government,Kialla West Primary School,Primary,7370 Goulburn Valley Highway,,Kialla West,VIC,3631,Greater Shepparton (C),145.389455,-36.466006
